PrimaryBus,SecondaryBus,LoadNames,Load_kW,PVNames,PV_kW
M2000911.3,SX2000911C,2000911C0a;2000911C0b,6.546303835511208;4.700369616448879,,
M2000912.3,SX2000912C,2000912C0a;2000912C0b,6.546303835511208;4.700369616448879,,
M2000913.3,SX2000913C,2000913C0a;2000913C0b,6.546303835511208;4.700369616448879,,
M2000914.3,SX2000914C,2000914C0a;2000914C0b,6.546303835511208;4.700369616448879,,
M2000915.3,SX2000915C,2000915C0a;2000915C0b,6.546303835511208;4.700369616448879,,
M2001002.2,SX2001002B,2001002B0a;2001002B0b,6.546303835511208;4.700369616448879,,
M2001003.2,SX2001003B,2001003B0a;2001003B0b,5.138708794193482;7.423893890875923,,
M2001004.2,SX2001004B,2001004B0a;2001004B0b,6.280734597341853;3.428793094879453,,
M2001005.2,SX2001005B,2001005B0a;2001005B0b,6.889452893014895;4.190873243490341,,
M2001006.2,SX2001006B,2001006B0a;2001006B0b,5.370491101431493;4.387454300943623,,
M2001007.2,SX2001007B,2001007B0a;2001007B0b,6.134785850184735;3.234098573734892,,
M2001008.2,SX2001008B,2001008B0a;2001008B0b,5.409857903842939;7.308480397203234,,
M2001009.2,SX2001009B,2001009B0a;2001009B0b,8.489702308947892;5.480939042093471,,
M2001010.2,SX2001010B,2001010B0a;2001010B0b,9.409835092971982;7.489379374913491,,
M2001011.2,SX2001011B,2001011B0a;2001011B0b,4.389741947928347;3.084957037902323,,
M2001012.2,SX2001012B,2001012B0a;2001012B0b,6.384798347120899;7.374628743298782,,
M2001013.2,SX2001013B,2001013B0a;2001013B0b,8.327328425678234;9.237846237846179,,
M2001014.2,SX2001014B,2001014B0a;2001014B0b,14.47958934798347;13.84723094728347,,
M2001015.2,SX2001015B,2001015B0a;2001015B0b,12.86739085729232;11.34794729873422,,
M2001202.3,SX2001202C,2001202C0a;2001202C0b,6.485703297093287;5.938478947239847,,
M2001203.3,SX2001203C,2001203C0a;2001203C0b,7.984723908743298;8.039487509385093,,
M2001204.3,SX2001204C,2001204C0a;2001204C0b,5.095920387409238;7.849579328740932,,
M2001205.3,SX2001205C,2001205C0a;2001205C0b,3.809345709834759;4.753864743897623,,
M2001206.3,SX2001206C,2001206C0a;2001206C0b,6.093850593532983;4.437532984739750,,
M2001207.3,SX2001207C,2001207C0a;2001207C0b,5.408909384834762;3.437538734756334,,
M2001208.3,SX2001208C,2001208C0a;2001208C0b,6.387523947874983;5.495872893472938,,
M2001209.3,SX2001209C,2001209C0a;2001209C0b,7.945793284792384;5.984573897983233,,
M2001210.3,SX2001210C,2001210C0a;2001210C0b,3.489573895793287;9.948573878342738,,
M2001211.3,SX2001211C,2001211C0a;2001211C0b,10.98573984749832;12.43058092384023,,
M2001212.3,SX2001212C,2001212C0a;2001212C0b,9.485304823894906;8.394820394823479,,
M2001213.3,SX2001213C,2001213C0a;2001213C0b,9.498509384093842;8.580932497284983,,
M2001214.3,SX2001214C,2001214C0a;2001214C0b,7.384798237492832;9.494852049738429,,
M2001215.3,SX2001215C,2001215C0a;2001215C0b,10.34985723084243;11.03495983473482,,
M2001302.1,SX2001302A,2001302A0a;2001302A0b,4.329874298374233;4.489572837423827,,
M2001303.1,SX2001303A,2001303A0a;2001303A0b,5.493873274828949;7.423893890875923,,
M2001304.1,SX2001304A,2001304A0a;2001304A0b,6.280734597341853;3.344850329482374,,
M2001305.1,SX2001305A,2001305A0a;2001305A0b,6.546303835511208;4.309458203843092,,
M2001306.1,SX2001306A,2001306A0a;2001306A0b,5.983457032947289;3.489342937532897,,
M2001307.1,SX2001307A,2001307A0a;2001307A0b,6.495893089534750;7.485357309582353,,
M2001308.1,SX2001308A,2001308A0a;2001308A0b,6.546303835511208;8.095038753248930,,
M2001309.1,SX2001309A,2001309A0a;2001309A0b,3.546303835511208;4.700369616448879,,
M2001310.1,SX2001310A,2001310A0a;2001310A0b,8.849852845709450;9.298342894398232,,
M2001311.1,SX2001311A,2001311A0a;2001311A0b,8.094802348402394;7.948579328738263,,
M2001312.1,SX2001312A,2001312A0a;2001312A0b,6.498203480293423;8.039489204824822,,
M2001313.1,SX2001313A,2001313A0a;2001313A0b,9.984798234923832;12.38702948230230,,
M2001314.1,SX2001314A,2001314A0a;2001314A0b,11.49509842474987;9.948575293874928,,
M2001315.1,SX2001315A,2001315A0a;2001315A0b,10.03588957985267;9.894537452398293,,
M2001400.3,SX2001400C,2001400C0a;2001400C0b,18.81112879438927;21.70889248794258,,
